ID,MHPD_0,MHPD_15,MHPD_20,MHPD_25,MHPD_30,MT_0,MT_15,MT_20,MT_25,MT_30
181,0.0,0.042881237667121486,0.0791773002870626,0.13652809984790115,0.22051721275665992,0.0,0.04435,0.0796,0.13565,0.2156
182,0.0,0.025256556795100416,0.05271305977379548,0.09944884905234919,0.17159465844030242,0.0,0.02475,0.05145,0.0935,0.1686
183,0.0,0.032557149812223685,0.07137439489774533,0.1370520355691407,0.23607203688690437,0.0,0.03065,0.0683,0.1326,0.22375
184,0.0,0.06782470012286523,0.11610666067471698,0.18941359371714772,0.2937113864582307,0.0,0.06745,0.1148,0.184,0.28405
185,0.0,0.027265879859632802,0.06198711436282989,0.1231471752533666,0.21817364566127795,0.0,0.02675,0.06095,0.1203,0.2092
186,0.0,0.022003758391120898,0.05159021022977095,0.10380501294934497,0.18578399482441033,0.0,0.0209,0.0506,0.1001,0.17895
187,0.0,0.05381415402824241,0.09177272215660692,0.15023333514128312,0.23545177068392686,0.0,0.05375,0.09195,0.1498,0.2341
188,0.0,0.02421812523827027,0.05474460486063204,0.1067944300398963,0.1863745455256618,0.0,0.02505,0.05575,0.108,0.18
189,0.0,0.02776547356912573,0.06550427551564553,0.13193763436583794,0.23483481169767662,0.0,0.0264,0.06365,0.1273,0.2221
190,0.0,0.057058357256630665,0.09791071344539348,0.15999512084770973,0.24890321759974177,0.0,0.0551,0.09555,0.15665,0.2417
191,0.0,0.04677275430472749,0.08077315569140042,0.13368253951151998,0.21162529707945754,0.0,0.0447,0.0793,0.1319,0.2033
192,0.0,0.021820529819738144,0.047668974010028564,0.09221200226061954,0.16139857911039257,0.0,0.02065,0.04365,0.0867,0.15525
193,0.0,0.028174579424220747,0.06328200627469949,0.12461476124891979,0.21986191815287393,0.0,0.02855,0.06545,0.12305,0.213
194,0.0,0.05844411591267362,0.10641493362250865,0.18115944767224013,0.28808490945832643,0.0,0.0579,0.10315,0.17505,0.27685
195,0.0,0.05631989994566833,0.09826343715773889,0.16262960797241455,0.255269495151239,0.0,0.0574,0.0975,0.15975,0.25065
196,0.0,0.08147054832747302,0.13473041488240944,0.21247558070051076,0.3195173955991695,0.0,0.07975,0.1335,0.20645,0.30595
197,0.0,0.03461271828286927,0.07593542655700791,0.14737552219127015,0.2565426135412875,0.0,0.03515,0.07765,0.1464,0.25
198,0.0,0.045344930656272986,0.08336075328411141,0.1437949654995333,0.23251623260856868,0.0,0.04285,0.08035,0.14255,0.22585
199,0.0,0.08823857905893895,0.1418891200844138,0.21801426616338204,0.3205872139901921,0.0,0.088,0.1386,0.2124,0.3066
200,0.0,0.023544237664216094,0.05508919445870197,0.1104548877648942,0.19657125928222352,0.0,0.0235,0.05345,0.10595,0.18595
201,0.0,0.019866639968588395,0.044577099461217906,0.08852182348037141,0.15849998539429977,0.0,0.0206,0.04395,0.0866,0.1532
202,0.0,0.023139077493246063,0.05475207588110409,0.11089475332015197,0.1990225778923871,0.0,0.0232,0.0529,0.10655,0.1894
203,0.0,0.02959687907202857,0.06736005251099719,0.1319822460476867,0.23033772681508335,0.0,0.028,0.0677,0.1294,0.2195
204,0.0,0.048809563052071625,0.09660824363200038,0.17415910582458904,0.28694713057553123,0.0,0.04835,0.09315,0.1656,0.27
205,0.0,0.07001450294645806,0.12020116174270978,0.1956610938822504,0.3014757967089884,0.0,0.0666,0.11555,0.18475,0.28785
206,0.0,0.039495772684590924,0.07024641726777836,0.11898295513440316,0.19174132467883287,0.0,0.03895,0.06695,0.114,0.1849
207,0.0,0.029478852428655777,0.06518326994703649,0.12645682201597908,0.22025568753254587,0.0,0.02905,0.06235,0.12035,0.20865
208,0.0,0.02070366837277804,0.04924348916203103,0.10039800678238708,0.1818085500606934,0.0,0.0197,0.045,0.09475,0.17335
209,0.0,0.02679017140114226,0.06223635037147168,0.12405546939986056,0.21950394073781454,0.0,0.0281,0.0621,0.1213,0.21045
210,0.0,0.07820467464711389,0.12742321835640635,0.1987299943502996,0.2972757960508082,0.0,0.07765,0.126,0.19365,0.28425
211,0.0,0.08486353196598972,0.1331327022505452,0.20052522396720285,0.29162436919413015,0.0,0.08525,0.1332,0.19635,0.27965
212,0.0,0.01859848726495339,0.042931684371941836,0.08583959372203365,0.1540683565365809,0.0,0.01855,0.044,0.08345,0.1466
213,0.0,0.020076086957276584,0.04694919610090076,0.09459259114223395,0.17025870625920947,0.0,0.01865,0.04665,0.0917,0.1592
214,0.0,0.023264413081897306,0.04842108620404528,0.09164574118569813,0.15931459139946258,0.0,0.02295,0.0491,0.0897,0.15585
215,0.0,0.02985392454173197,0.06389157974943094,0.12249745197052664,0.21307648296927661,0.0,0.02955,0.06165,0.11755,0.2058
